,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
294,Belvidere,75,US,1563927553,47,42.26,-88.84,78.8,8.05
295,Erechim,25,BR,1563927553,94,-27.64,-52.27,64.0,4.16
296,Clyde River,20,CA,1563927212,55,70.47,-68.59,64.4,3.36
297,Townsville,20,AU,1563927518,56,-19.26,146.82,75.0,9.17
298,Malinao,100,PH,1563927553,75,11.64,122.31,82.35,6.82
299,Marawi,88,PH,1563927554,86,8.0,124.29,78.01,5.99
300,San Rafael,42,AR,1563927554,37,-34.61,-68.33,42.04,5.08
301,Ranfurly,0,CA,1563927554,66,53.41,-111.68,81.27,4.83
302,Okhotsk,0,RU,1563927555,51,59.36,143.24,63.81,4.88
303,Roald,67,NO,1563927296,93,62.58,6.12,66.99,3.36
304,Oliveira,4,BR,1563927555,65,-20.7,-44.83,60.4,3.94
305,Navoloki,100,RU,1563927555,97,57.47,41.96,58.6,5.46
306,Linxia,100,CN,1563927392,78,35.6,103.21,58.23,1.05
307,Mehamn,54,NO,1563927556,64,71.03,27.85,61.83,6.6
308,Tornio,0,FI,1563927472,82,61.12,27.27,64.4,4.7
309,Khasan,81,RU,1563927556,83,42.43,130.64,75.16,5.08
310,Krasnyy Chikoy,80,RU,1563927556,90,50.36,108.75,58.77,3.04
311,Sola,13,TZ,1563927462,40,-3.17,33.8,64.0,5.84
312,Patna,75,IN,1563927284,88,25.61,85.12,80.6,3.36
313,Pizarro,99,CO,1563927557,79,4.95,-77.37,79.3,9.33
314,Gamba,58,CN,1563927557,56,28.28,88.52,44.2,3.13
315,Liusha,8,CN,1563927557,83,27.21,108.59,74.25,2.46
316,Homer,75,US,1563927557,77,59.64,-151.54,61.0,11.41
317,Rawson,0,AR,1563927558,59,-43.3,-65.11,41.13,5.03
318,Bandarbeyla,11,SO,1563927558,59,9.49,50.81,77.85,31.43
319,Los Llanos de Aridane,0,ES,1563927558,73,28.66,-17.92,71.6,14.99
320,Cap Malheureux,75,MU,1563927558,88,-19.98,57.61,69.8,16.11
321,Padang,100,ID,1563927558,80,-0.92,100.36,81.27,14.92
322,Half Moon Bay,1,US,1563927559,60,37.46,-122.43,77.0,16.11
323,Ballina,95,IE,1563927559,84,54.11,-9.15,64.0,5.01
324,Joshimath,58,IN,1563927559,90,30.57,79.57,56.8,0.56
325,Diamantino,0,BR,1563927559,40,-14.4,-56.44,75.69,4.59
326,Caravelas,15,BR,1563927094,84,-17.73,-39.27,72.64,8.41
327,Igrim,58,RU,1563927560,83,63.19,64.42,50.31,5.73
328,Kavaratti,98,IN,1563927560,76,10.57,72.64,82.35,20.49
329,Bela,30,PK,1563927560,67,26.23,66.31,81.81,4.76
330,Bushenyi,60,UG,1563927561,87,-0.54,30.19,64.9,1.03
331,Pokrovsk,0,RU,1563927561,39,61.48,129.14,69.94,1.83
332,Asosa,100,ET,1563927561,92,10.07,34.53,64.0,2.39
333,San Policarpo,42,PH,1563927561,78,12.18,125.51,82.18,4.65
334,Decatur,1,US,1563927474,78,35.51,-84.79,78.8,9.8
335,San Pedro Buenavista,43,MX,1563927562,91,20.01,-97.11,71.91,1.66
336,Camopi,49,GF,1563927562,98,3.17,-52.33,71.37,1.88
337,Lazaro Cardenas,75,MX,1563927562,60,28.39,-105.62,80.01,11.41
338,Lisakovsk,0,KZ,1563927562,89,52.55,62.49,57.16,9.33
339,Manokwari,89,ID,1563927562,77,-0.87,134.08,76.06,3.22
340,Buala,23,SB,1563927207,73,-8.15,159.59,82.18,10.6
341,Coquimbo,0,CL,1563926980,71,-29.95,-71.34,50.0,4.7
342,Voyvozh,92,RU,1563927563,89,62.89,54.96,53.91,1.05
343,Hohhot,0,CN,1563927563,77,40.81,111.65,66.2,4.47
344,Savannah Bight,42,HN,1563927563,81,16.45,-85.85,82.71,15.28
345,Bull Savanna,73,JM,1563927031,76,17.89,-77.59,83.61,11.86
346,Namibe,22,AO,1563927564,76,-15.19,12.15,65.61,12.35
347,Darhan,100,MN,1563927564,99,49.49,105.92,56.97,3.33
348,Saint-Leu,75,RE,1563927564,82,-21.15,55.28,69.8,10.29
349,Norcasia,95,CO,1563927564,92,5.58,-74.89,67.41,2.3
350,Linjiang,100,CN,1563927565,97,41.81,126.91,68.14,2.04
351,Novoagansk,86,RU,1563927565,74,61.94,76.66,61.11,14.0
352,Francisco Sa,0,BR,1563927565,60,-16.48,-43.49,71.6,9.17
353,Praia da Vitoria,20,PT,1563927565,83,38.73,-27.07,75.2,24.92
354,Udachnyy,89,RU,1563927140,46,66.42,112.4,69.8,2.24
355,Hambantota,98,LK,1563927566,81,6.12,81.12,80.37,15.73
356,Izberbash,40,RU,1563927566,73,42.57,47.86,77.0,15.66
357,Lokosovo,44,RU,1563927566,77,61.13,74.84,60.04,11.43
358,Pudozh,98,RU,1563927566,98,61.81,36.54,48.7,2.55
359,Zdvinsk,67,RU,1563927567,81,54.7,78.67,56.61,3.22
360,Salinopolis,22,BR,1563927567,79,-0.61,-47.36,81.64,16.22
361,Novosergiyevka,0,RU,1563927567,89,52.08,53.65,58.23,5.12
362,Marystown,100,CA,1563927027,93,47.17,-55.16,55.54,17.69
363,Pokhara,99,NP,1563927015,96,28.21,83.99,57.51,1.14
364,Phuthaditjhaba,0,ZA,1563927567,31,-28.53,28.82,40.41,15.9
365,Quthing,27,LS,1563927310,83,-30.4,27.7,37.35,32.68
366,Tecoanapa,75,MX,1563927568,74,16.99,-99.26,82.4,6.93
367,Den Helder,0,NL,1563927568,88,52.96,4.76,73.99,10.29
368,Heilbron,0,ZA,1563927568,27,-27.29,27.97,46.35,13.56
369,Kimberley,0,ZA,1563927569,76,-28.74,24.76,53.6,12.75
370,Betong,93,MY,1563927569,98,5.77,101.07,69.75,1.97
371,Huilong,60,CN,1563927569,90,31.15,106.5,76.06,3.09
372,Hamburg,0,DE,1563927350,82,53.55,10.0,71.6,3.36
373,Brighton,0,GB,1563927569,64,50.82,-0.14,77.0,3.36
374,Tomatlan,100,MX,1563927570,75,19.93,-105.25,84.16,19.13
375,Mehran,0,IR,1563927570,23,33.12,46.17,75.2,4.7
376,Kuopio,0,FI,1563927570,68,62.89,27.68,64.4,9.17
377,Zyryanovsk,99,KZ,1563927570,98,49.74,84.27,54.27,2.1
378,Kurumkan,91,RU,1563927570,56,54.33,110.32,61.66,5.26
379,Harper,1,US,1563927257,30,30.3,-99.24,90.0,8.05
380,Ust-Maya,0,RU,1563927304,52,60.42,134.54,69.4,4.74
381,Quzhou,19,CN,1563927571,76,28.97,118.86,82.35,2.21
382,Ukiah,1,US,1563927571,17,39.15,-123.21,93.2,8.05
383,Auki,16,NG,1563927024,74,12.18,6.51,75.69,8.08
384,Severodvinsk,40,RU,1563927571,100,64.56,39.82,57.2,6.71
385,Marsh Harbour,100,BS,1563927571,75,26.54,-77.06,84.33,15.93
386,Mount Gambier,75,AU,1563927057,93,-37.83,140.78,46.4,8.05
387,Bubaque,100,GW,1563927572,87,11.28,-15.83,78.21,15.86
388,Sargatskoye,11,RU,1563927572,89,55.6,73.49,56.44,5.79
389,Port Macquarie,0,AU,1563927464,54,-31.43,152.91,66.99,5.82
390,Kiama,20,AU,1563927572,44,-34.67,150.86,63.0,16.11
391,Cabo San Lucas,75,MX,1563926910,69,22.89,-109.91,91.0,14.99
392,Annau,0,TM,1563927573,25,37.89,58.52,84.2,6.93
393,Pinos,0,ES,1563927573,65,38.68,-0.01,79.0,3.36
394,Poya,0,NC,1563927573,68,-21.35,165.16,68.14,16.78
395,Moron,46,HT,1563927574,70,18.56,-74.26,82.35,2.01
396,Lensk,99,RU,1563927574,44,60.71,114.91,70.47,11.45
397,Labuhan,49,ID,1563927574,69,-2.54,115.51,74.44,0.45
398,Jalu,0,LY,1563927574,70,29.03,21.55,75.69,13.56
399,Knysna,81,ZA,1563927574,57,-34.04,23.05,50.0,27.51
400,Redmond,75,US,1563927351,60,47.67,-122.12,71.01,5.82
401,Talavera de la Reina,62,ES,1563927575,79,39.96,-4.83,71.01,4.79
402,Santo Antonio do Ica,74,BR,1563927575,94,-3.1,-67.94,74.44,2.98
403,Aklavik,20,CA,1563927575,60,68.22,-135.01,75.2,5.82
404,Dunedin,35,NZ,1563927460,64,-45.87,170.5,53.01,21.0
405,Bonthe,100,SL,1563927576,89,7.53,-12.5,74.44,11.86
406,Slave Lake,1,CA,1563927576,83,55.28,-114.77,71.6,5.82
407,Ponta Delgada,75,PT,1563927576,94,37.73,-25.67,71.6,10.29
408,Hami,42,CN,1563927151,30,42.84,93.51,77.85,4.85
409,Rocha,100,UY,1563927079,92,-34.48,-54.34,48.33,6.89
410,Mariental,0,BR,1563927576,82,-25.72,-49.65,66.0,4.7
411,Mount Pleasant,1,US,1563927577,45,33.16,-94.97,86.0,5.82
412,Mahebourg,75,MU,1563927577,88,-20.41,57.7,69.8,16.11
413,Constitucion,75,MX,1563927286,35,23.99,-104.67,73.4,12.75
414,Kamyshevatskaya,28,RU,1563927577,70,46.41,37.96,76.41,10.69
415,Isangel,75,VU,1563927578,60,-19.55,169.27,75.2,11.41
416,Korhogo,75,CI,1563927578,94,9.46,-5.63,71.56,5.08
417,Sarnia,90,CA,1563927303,82,42.99,-82.38,66.2,4.9
418,La Esperanza,75,CO,1563927352,100,7.64,-73.33,69.8,5.82
419,Kruisfontein,23,ZA,1563927578,69,-34.0,24.73,48.33,17.22
420,Ribas do Rio Pardo,0,BR,1563927579,47,-20.45,-53.76,70.3,4.56
421,Otjiwarongo,0,NA,1563927579,24,-20.46,16.65,55.4,2.24
422,Channel-Port aux Basques,100,CA,1563927579,94,47.57,-59.14,56.61,19.26
423,Paramonga,99,PE,1563927580,90,-10.68,-77.82,60.57,17.43
424,Husavik,81,CA,1563927029,34,50.56,-96.99,82.99,5.01
425,Coxim,0,BR,1563927580,34,-18.5,-54.75,76.6,3.58
426,Spearfish,1,US,1563927580,61,44.49,-103.86,84.0,12.75
427,Puerto Colombia,75,CO,1563927581,83,10.99,-74.96,82.4,5.82
428,Novyy Urengoy,7,RU,1563927581,64,66.08,76.63,51.04,17.16
429,Pisco,90,PE,1563927394,30,-13.71,-76.2,71.6,17.22
430,Kutum,43,SD,1563927581,41,14.2,24.66,80.91,5.73
431,Kahului,20,US,1563927119,55,20.89,-156.47,86.0,21.92
432,Iraray,89,PH,1563927581,77,8.99,118.05,80.37,0.2
433,Idlib,0,SY,1563927582,69,35.93,36.64,79.0,9.17
434,Ostrovnoy,98,RU,1563927582,68,68.05,39.51,50.31,2.01
435,Desaguadero,42,PE,1563927582,92,-16.56,-69.04,37.17,11.01
436,Sibolga,80,ID,1563927582,75,1.74,98.78,81.27,1.86
437,Pochutla,75,MX,1563927582,74,15.74,-96.47,86.0,2.06
438,Curvelo,0,BR,1563927583,74,-18.76,-44.43,61.11,6.15
439,San Quintin,100,PH,1563927435,90,17.54,120.52,77.31,4.14
440,Antalaha,28,MG,1563927583,97,-14.9,50.28,57.87,3.89
441,Jeremie,46,HT,1563927583,70,18.65,-74.12,82.35,2.01
442,LUGOBA,0,TZ,1563927584,70,-6.46,38.33,60.04,3.42
443,Idrinskoye,70,RU,1563927584,79,54.37,92.14,61.11,2.39
444,Opunake,90,NZ,1563927584,81,-39.45,173.86,53.19,9.8
445,Sao Joao Evangelista,71,BR,1563927584,94,-18.55,-42.76,58.06,2.64
446,Les Cayes,54,HT,1563927585,77,18.19,-73.75,83.25,12.41
447,Mezen,29,RU,1563927585,91,65.85,44.24,55.54,4.94
448,Acu,0,BR,1563927585,66,-3.35,-60.45,84.2,3.36
449,Troy,75,US,1563927569,64,42.73,-73.69,73.4,3.36
450,Margate,40,AU,1563927049,74,-43.03,147.26,51.01,5.82
451,Nola,99,CF,1563927585,96,3.52,16.05,67.95,1.72
452,Damghan,0,IR,1563927586,34,36.17,54.34,66.51,10.07
453,Merritt Island,1,US,1563927586,66,28.54,-80.67,84.2,8.05
454,Mogzon,2,RU,1563927586,62,51.74,111.97,60.75,9.24
455,Lavrentiya,100,RU,1563927586,96,65.58,-170.99,45.81,4.61
456,Xiaoweizhai,6,CN,1563927586,92,26.23,107.51,70.3,2.98
457,Sakaiminato,75,JP,1563927587,69,35.55,133.23,82.4,4.7
458,Buhe,35,CN,1563927587,83,30.29,112.23,81.81,0.81
459,Saldanha,72,PT,1563927587,59,41.42,-6.55,70.47,1.39
460,Manuk Mangkaw,100,PH,1563927587,77,4.8,119.85,82.9,11.63
461,Nichinan,75,JP,1563927588,70,31.65,131.31,84.2,10.29
462,Sisimiut,0,GL,1563927588,82,66.94,-53.67,41.67,1.97
463,Leh,0,IN,1563927588,39,34.16,77.58,44.2,0.74
464,Biak,99,ID,1563927082,89,-0.91,122.88,61.3,4.74
465,Sitka,0,US,1563927588,41,37.17,-99.65,82.99,4.0
466,Twin Falls,40,US,1563927344,37,42.57,-114.46,91.99,9.17
467,Melenki,75,RU,1563927589,93,55.94,42.98,62.6,4.47
468,Tapejara,27,BR,1563927589,72,-23.73,-52.87,67.77,7.99
469,Deer Lake,90,CA,1563927589,72,49.18,-57.43,66.2,3.36
470,Yeppoon,0,AU,1563927589,64,-23.13,150.74,68.0,3.29
471,Thaton,100,MM,1563927589,79,16.91,97.37,82.18,14.56
472,Vila do Maio,75,CV,1563927283,78,15.13,-23.22,77.0,17.22
473,Trincomalee,90,LK,1563927590,76,8.58,81.23,77.5,6.91
474,Dafeng,100,CN,1563927590,71,33.2,120.46,91.99,1.01
475,Indramayu,61,ID,1563927590,59,-4.05,103.78,62.91,4.32
476,Barsi,91,IN,1563927591,54,29.05,76.02,91.9,3.69
477,jatara,100,IN,1563927591,51,25.01,79.05,90.27,14.25
478,Wiarton,75,CA,1563927591,46,44.74,-81.13,69.8,5.82
479,Honiara,40,SB,1563927592,66,-9.43,159.96,86.0,2.24
480,Hualmay,100,PE,1563927108,86,-11.1,-77.61,61.66,19.37
481,Aleksandrov Gay,0,RU,1563927592,58,50.14,48.57,66.87,8.25
482,Kamaishi,75,JP,1563927592,94,39.28,141.86,71.6,1.12
483,Zhigansk,0,RU,1563927592,36,66.77,123.37,73.54,9.53
484,Hasaki,20,JP,1563927345,83,35.73,140.83,81.0,4.7
485,Cowra,25,AU,1563927593,81,-33.84,148.69,43.0,5.01
486,Bay-Khaak,0,RU,1563927593,56,51.16,94.47,65.61,2.57
487,Kerugoya,45,KE,1563927593,89,-0.5,37.28,52.3,1.39
488,Novyy Urgal,100,RU,1563927519,95,51.07,132.56,56.61,6.31
489,Pangnirtung,93,CA,1563927148,51,66.15,-65.72,56.07,4.18
490,Ambon,98,FR,1563927594,94,47.55,-2.56,70.0,4.7
491,Rio Grande,100,BR,1563927594,99,-32.03,-52.1,59.0,4.23
492,Sao Joao da Barra,0,BR,1563927594,88,-21.64,-41.05,69.8,2.98
493,De-Kastri,100,RU,1563927594,94,51.48,140.77,53.37,6.8
494,Oster,93,UA,1563927594,100,50.95,30.88,62.01,6.71
495,Karratha,96,AU,1563927004,24,-20.74,116.85,71.56,7.72
496,Axim,16,GH,1563927375,87,4.87,-2.24,75.16,6.51
497,Dauphin,1,CA,1563927595,51,51.15,-100.04,80.6,5.82
498,Gloversville,40,US,1563927595,73,43.05,-74.34,72.0,6.93
499,Magan,68,OM,1563927595,79,24.42,56.58,87.8,6.91
500,Calatagan,100,PH,1563927596,75,13.88,120.65,82.35,4.12
501,Ondangwa,0,NA,1563927596,16,-17.91,15.98,62.6,4.7
502,Taoudenni,55,ML,1563927596,23,22.68,-3.98,96.4,10.65
503,Aguimes,20,ES,1563927596,73,27.91,-15.45,71.6,27.51
504,Along,100,IN,1563927597,98,28.17,94.8,60.94,0.56
505,Curuca,89,BR,1563927597,67,-2.52,-61.06,78.04,2.93
506,Puerto Escondido,40,MX,1563927597,66,15.86,-97.07,86.0,3.78
507,Ust-Tsilma,42,RU,1563927597,93,65.44,52.15,57.51,2.84
508,Aksu,90,KZ,1563927269,93,52.04,76.93,62.6,8.95
509,Beba,75,CU,1563927598,88,22.44,-79.73,73.4,1.12
510,Tabuk,100,PH,1563927598,92,17.41,121.44,69.21,1.45
511,Olivehurst,1,US,1563927598,20,39.1,-121.55,102.0,12.75
512,Laguna,40,BZ,1563927349,74,16.17,-88.94,86.0,4.7
513,Luau,20,CD,1563927599,31,-10.7,22.23,58.95,5.3
514,Homa Bay,52,KE,1563927599,79,-0.53,34.45,71.56,16.13
515,Halifax,90,CA,1563927500,93,44.65,-63.58,66.99,5.82
516,Turayf,0,SA,1563927599,33,31.68,38.65,77.0,13.87
517,Tessalit,68,ML,1563927064,22,20.2,1.01,94.41,11.03
518,North Myrtle Beach,90,US,1563927378,94,33.83,-78.68,77.0,6.93
519,Silver City,40,US,1563927600,36,32.77,-108.28,80.6,10.29
520,Bambanglipuro,100,ID,1563927600,82,-7.95,110.28,74.97,8.14
521,Kathmandu,75,NP,1563927600,100,27.71,85.32,71.6,0.6
522,Sheksna,67,RU,1563927600,86,59.21,38.5,51.21,4.09
523,Longyearbyen,75,NO,1563927072,81,78.22,15.63,46.4,3.36
524,Katsuura,75,JP,1563927187,83,33.93,134.5,82.99,2.24
525,Jefferson City,1,US,1563927601,44,38.58,-92.17,80.01,6.93
526,Asyut,0,EG,1563927601,51,27.18,31.19,80.6,6.93
527,Mogadishu,58,SO,1563927390,80,2.04,45.34,74.61,17.22
528,Muravlenko,9,RU,1563927601,76,63.79,74.5,54.64,17.31
529,Teknaf,100,BD,1563927602,87,20.86,92.31,80.19,7.2
530,Juneau,75,US,1563927016,60,58.3,-134.42,69.8,13.87
531,Roseburg,1,US,1563927447,41,43.22,-123.34,78.8,8.05
532,Tacuarembo,100,UY,1563927602,92,-31.73,-55.98,49.24,25.66
533,Mutoko,0,ZW,1563927602,64,-17.4,32.23,46.35,2.95
534,Zabol,0,IR,1563927603,22,31.03,61.49,86.0,20.8
535,Chapayevka,75,RU,1563927603,100,53.06,158.83,55.4,4.47
536,Egvekinot,100,RU,1563927603,93,66.32,-179.17,44.01,2.08
537,Badajoz,39,ES,1563927415,47,38.88,-6.97,79.0,5.01
538,Sistranda,75,NO,1563927604,93,63.73,8.83,64.99,4.7
539,Kalabo,1,ZM,1563927604,34,-15.0,22.67,53.01,4.56
540,Tarut,20,SA,1563927604,79,26.57,50.06,91.4,3.36
541,Sazonovo,100,RU,1563927605,87,54.2,39.81,62.01,4.88
542,Port Lincoln,52,AU,1563927605,79,-34.72,135.86,57.69,15.55
543,Comodoro Rivadavia,0,AR,1563927572,69,-45.87,-67.48,44.6,8.05
544,Kishi,79,NG,1563927605,97,9.08,3.85,70.3,6.51
545,Kukuna,100,SL,1563927606,95,8.64,-12.57,72.64,4.81
546,Sokoni,0,CD,1563927606,67,-12.89,28.78,47.07,3.09
547,Natal,40,BR,1563927606,88,-5.81,-35.21,75.2,8.05
548,Rize,75,TR,1563927598,73,41.02,40.52,75.2,1.12
549,Sao Gabriel da Cachoeira,91,BR,1563927606,70,-0.13,-67.09,80.01,1.9
550,Piacabucu,29,BR,1563927061,88,-10.41,-36.43,73.54,8.68
551,Inhambane,0,MZ,1563927607,75,-23.87,35.38,58.41,9.37
552,Norsup,75,VU,1563927607,69,-16.07,167.38,77.0,5.82
553,Mamou,100,GN,1563927607,98,10.37,-12.08,67.77,3.0
554,Masvingo,0,ZW,1563927608,25,-20.08,30.83,52.11,4.21
555,Vung Tau,100,VN,1563927558,84,10.35,107.08,79.47,5.73
556,Imbituba,0,BR,1563927608,64,-28.24,-48.67,73.4,6.93
557,Candolim,90,IN,1563927608,100,15.52,73.76,75.2,2.24
558,Wukari,82,NG,1563927608,91,7.87,9.78,74.07,6.64
559,Alofi,75,NU,1563927112,61,-19.06,-169.92,77.0,5.82
560,Ancud,0,CL,1563927442,93,-41.87,-73.83,39.2,5.86
561,Ahipara,65,NZ,1563927203,98,-35.17,173.16,64.0,1.99
562,Marsabit,52,KE,1563927609,54,2.34,37.99,73.18,24.25
563,Karaidel,13,RU,1563927609,95,55.83,56.91,54.1,5.35
564,Pinega,1,RU,1563927610,97,64.7,43.39,50.85,2.91
565,Shikhazany,0,RU,1563927610,82,55.56,47.39,60.8,4.47
566,Zeerust,0,ZA,1563927610,27,-25.54,26.07,53.6,5.82
567,Mahibadhoo,75,MV,1563927610,71,3.78,72.97,83.07,8.19
568,Dandong,100,CN,1563927611,95,40.12,124.37,77.85,8.79
569,Mmabatho,0,ZA,1563927611,27,-25.85,25.61,53.6,5.82
570,Pompeu,0,BR,1563927611,49,-21.05,-48.85,73.4,3.71
571,Boguchany,0,RU,1563927611,66,58.38,97.46,64.9,1.45
572,Xichang,99,CN,1563927611,86,27.88,102.25,59.14,1.43
573,Kaeo,6,NZ,1563927281,98,-35.1,173.78,64.0,1.99
574,Acapulco,75,MX,1563927288,74,16.86,-99.88,82.4,6.93
575,Antofagasta,75,CL,1563926885,62,-23.65,-70.4,55.4,14.99
576,Bayanday,100,RU,1563927612,89,53.07,105.52,63.27,5.99
577,Tandil,45,AR,1563927612,57,-37.33,-59.14,42.01,1.99
578,Kirakira,16,SB,1563927053,72,-10.46,161.92,79.3,16.31
579,Magadi,40,IN,1563927613,100,12.96,77.22,68.0,11.41
580,Jumla,94,NP,1563927613,94,29.28,82.18,56.44,1.01
581,Boa Vista,75,BR,1563927572,88,2.82,-60.67,78.8,3.36
582,Cobija,20,BR,1563927613,70,-11.02,-68.77,86.0,6.93
583,Betare Oya,100,CM,1563927613,89,5.6,14.08,68.31,0.65
584,Zhicheng,24,CN,1563927614,44,35.04,112.59,91.18,0.4
585,Muros,0,ES,1563927614,93,42.77,-9.06,63.0,6.64
586,Iki-Burul,95,RU,1563927614,68,45.82,44.65,69.8,13.42
